resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,code,forename,surname
23318,966,8,6,7,6,6,6,6,8,71,49.376,6080778,47,3,01:22.5,187.783,1,RAI,Kimi,Räikkönen
23319,966,807,10,27,5,7,7,7,6,71,58.891,6090293,50,9,01:23.3,186.034,1,HUL,Nico,Hülkenberg
23320,966,822,3,77,8,8,8,8,4,71,+1:05.612,6097014,65,11,01:23.5,185.472,1,BOT,Valtteri,Bottas
23321,966,13,3,19,9,9,9,9,2,71,+1:16.206,6107608,64,12,01:23.6,185.392,1,MAS,Felipe,Massa
23322,966,815,10,11,12,10,10,10,1,71,+1:16.798,6108200,62,13,01:23.6,185.324,1,PER,Sergio,Pérez
23335,967,1,131,44,1,1,1,1,25,71,01:01.3,10861335,44,3,01:25.6,181.137,1,HAM,Lewis,Hamilton
23336,967,3,131,6,2,2,2,2,18,71,11.455,10872790,47,6,01:26.2,179.912,1,ROS,Nico,Rosberg
23337,967,830,9,33,4,3,3,3,15,71,21.481,10882816,67,1,01:25.3,181.846,1,VER,Max,Verstappen
23338,967,815,10,11,9,4,4,4,12,71,25.346,10886681,41,11,01:27.1,178.113,1,PER,Sergio,Pérez
23339,967,20,6,5,5,5,5,5,10,71,26.334,10887669,70,5,01:26.2,179.968,1,VET,Sebastian,Vettel
23340,967,832,5,55,15,6,6,6,8,71,29.16,10890495,38,13,01:27.2,177.99,1,SAI,Carlos,Sainz
23341,967,807,10,27,8,7,7,7,6,71,29.827,10891162,69,8,01:26.7,178.862,1,HUL,Nico,Hülkenberg
23342,967,817,9,3,6,8,8,8,4,71,30.486,10891821,42,2,01:25.5,181.363,1,RIC,Daniel,Ricciardo
23343,967,831,15,12,21,9,9,9,2,71,42.62,10903955,70,15,01:27.5,177.189,1,NAS,Felipe,Nasr
23344,967,4,1,14,10,10,10,10,1,71,44.432,10905767,70,12,01:27.1,178.09,1,ALO,Fernando,Alonso
23345,967,822,3,77,11,11,11,11,0,71,45.292,10906627,70,4,01:26.1,180.246,1,BOT,Valtteri,Bottas
23346,967,839,209,31,22,12,12,12,0,71,45.809,10907144,47,16,01:27.8,176.686,1,OCO,Esteban,Ocon
23347,967,826,5,26,14,13,13,13,0,71,51.192,10912527,42,14,01:27.5,177.333,1,KVY,Daniil,Kvyat
23348,967,825,4,20,18,14,14,14,0,71,51.555,10912890,69,7,01:26.5,179.284,1,MAG,Kevin,Magnussen
23349,967,836,209,94,19,15,15,15,0,71,+1:00.498,10921833,69,18,01:27.9,176.439,1,WEH,Pascal,Wehrlein
23350,967,18,1,22,17,16,16,16,0,71,+1:21.994,10943329,38,10,01:27.0,178.338,1,BUT,Jenson,Button
23357,968,1,131,44,1,1,1,1,25,55,38:04.0,5884013,37,5,01:45.1,190.174,1,HAM,Lewis,Hamilton
23358,968,3,131,6,2,2,2,2,18,55,0.439,5884452,33,9,01:45.3,189.95,1,ROS,Nico,Rosberg
23359,968,20,6,5,5,3,3,3,15,55,0.843,5884856,43,1,01:43.7,192.756,1,VET,Sebastian,Vettel
23360,968,830,9,33,6,4,4,4,12,55,1.685,5885698,36,7,01:45.2,190.084,1,VER,Max,Verstappen
23361,968,817,9,3,3,5,5,5,10,55,5.315,5889328,29,3,01:44.9,190.624,1,RIC,Daniel,Ricciardo
23362,968,8,6,7,4,6,6,6,8,55,18.816,5902829,35,6,01:45.2,190.127,1,RAI,Kimi,Räikkönen
23363,968,807,10,27,7,7,7,7,6,55,50.114,5934127,31,13,01:45.9,188.717,1,HUL,Nico,Hülkenberg
23364,968,815,10,11,8,8,8,8,4,55,58.776,5942789,30,8,01:45.2,189.972,1,PER,Sergio,Pérez
23365,968,13,3,19,10,9,9,9,2,55,59.436,5943449,33,10,01:45.7,189.206,1,MAS,Felipe,Massa
23366,968,4,1,14,9,10,10,10,1,55,59.896,5943909,50,2,01:44.5,191.343,1,ALO,Fernando,Alonso
23367,968,154,210,8,14,11,11,11,0,55,+1:16.777,5960790,45,4,01:45.0,190.477,1,GRO,Romain,Grosjean
23368,968,821,210,21,13,12,12,12,0,55,+1:35.113,5979126,45,12,01:45.9,188.754,1,GUT,Esteban,Gutiérrez
23379,969,20,6,5,2,1,1,1,25,57,24:11.7,5051672,53,3,01:26.6,220.351,1,VET,Sebastian,Vettel
23380,969,1,131,44,1,2,2,2,18,57,9.975,5061647,44,6,01:27.0,219.351,1,HAM,Lewis,Hamilton
23381,969,822,131,77,3,3,3,3,15,57,11.25,5062922,56,2,01:26.6,220.465,1,BOT,Valtteri,Bottas
23382,969,8,6,7,4,4,4,4,12,57,22.393,5074065,56,1,01:26.5,220.605,1,RAI,Kimi,Räikkönen
23383,969,830,9,33,5,5,5,5,10,57,28.827,5080499,43,5,01:27.0,219.525,1,VER,Max,Verstappen
23384,969,13,3,19,7,6,6,6,8,57,+1:23.386,5135058,49,9,01:28.0,216.83,1,MAS,Felipe,Massa
23399,970,1,131,44,1,1,1,1,25,56,37:36.2,5856158,44,1,01:35.4,205.745,1,HAM,Lewis,Hamilton
23400,970,20,6,5,2,2,2,2,18,56,6.25,5862408,40,2,01:35.4,205.648,1,VET,Sebastian,Vettel
23401,970,830,9,33,16,3,3,3,15,56,45.192,5901350,31,7,01:36.7,202.886,1,VER,Max,Verstappen
23402,970,817,9,3,5,4,4,4,12,56,46.035,5902193,36,8,01:36.8,202.741,1,RIC,Daniel,Ricciardo
23403,970,8,6,7,4,5,5,5,10,56,48.076,5904234,42,4,01:36.0,204.406,1,RAI,Kimi,Räikkönen
23404,970,822,131,77,3,6,6,6,8,56,48.808,5904966,41,3,01:35.8,204.734,1,BOT,Valtteri,Bottas
23405,970,832,5,55,11,7,7,7,6,56,+1:12.893,5929051,30,10,01:37.4,201.478,1,SAI,Carlos,Sainz
23419,971,20,6,5,3,1,1,1,25,57,33:53.4,5633374,36,4,01:33.8,207.652,1,VET,Sebastian,Vettel
23420,971,1,131,44,2,2,2,2,18,57,6.66,5640034,46,1,01:32.8,209.952,1,HAM,Lewis,Hamilton
23421,971,822,131,77,1,3,3,3,15,57,20.397,5653771,33,5,01:34.1,207.076,1,BOT,Valtteri,Bottas
23422,971,8,6,7,5,4,4,4,12,57,22.475,5655849,55,3,01:33.7,207.887,1,RAI,Kimi,Räikkönen
23423,971,817,9,3,4,5,5,5,10,57,39.346,5672720,42,2,01:33.5,208.387,1,RIC,Daniel,Ricciardo
23424,971,13,3,19,8,6,6,6,8,57,54.326,5687700,39,6,01:34.3,206.705,1,MAS,Felipe,Massa
23425,971,815,10,11,18,7,7,7,6,57,+1:02.606,5695980,39,7,01:34.6,205.933,1,PER,Sergio,Pérez
23426,971,154,210,8,9,8,8,8,4,57,+1:14.865,5708239,33,8,01:34.9,205.198,1,GRO,Romain,Grosjean
23427,971,807,4,27,7,9,9,9,2,57,+1:20.188,5713562,40,12,01:35.4,204.286,1,HUL,Nico,Hülkenberg
23428,971,839,10,31,14,10,10,10,1,57,+1:35.711,5729085,39,11,01:35.2,204.7,1,OCO,Esteban,Ocon
